gender,age,gross_income,segment,num_credit_cards,tiprel_1mes,ind_actividad_cliente,num_Products,num_loans,duration
M,21 years,$ 79070.91,Individuals,0,I,0,1,0,1035
M,23 years,$ 178270.68,College_Graduated,0,I,0,1,0,1097
M,24 years,$ 31243.56,College_Graduated,0,I,1,1,0,1866
M,24 years,$ 130740.54,College_Graduated,0,I,0,1,0,1440
M,31 years,$ 112975.17,Individuals,0,I,0,0,0,376
F,32 years,$ 37318.56,Individuals,0,A,1,4,0,699
F,43 years,$ 131281.5,Individuals,0,A,0,1,0,5022
M,48 years,$ 184641.6,Individuals,0,A,1,1,0,4066
F,36 years,$ 164347.86,VIP,0,A,1,1,0,1427
M,26 years,$ 27311.31,College_Graduated,0,I,1,1,0,1458
F,46 years,$ 256450.32,Individuals,0,I,0,0,0,6766
F,42 years,$ 133268.46,Individuals,0,A,1,2,0,6446
F,22 years,$ 42109.41,College_Graduated,0,I,0,1,0,1067
M,33 years,$ 77878.38,College_Graduated,0,A,1,1,0,766
M,40 years,$ 192617.13,Individuals,1,A,1,1,0,928
F,60 years,$ 369235.74,Individuals,0,A,1,7,0,6632
M,24 years,$ 62546.46,College_Graduated,0,I,0,1,0,1877
M,24 years,$ 78944.25,College_Graduated,0,I,0,1,0,1776
M,25 years,$ 89892.72,College_Graduated,0,I,0,0,0,1736
F,45 years,$ 56459.34,Individuals,0,I,0,0,0,3505
F,34 years,$ 115313.46,Individuals,0,I,0,0,0,1782
M,22 years,$ 45188.43,College_Graduated,0,I,0,1,0,695
F,30 years,$ 35098.71,College_Graduated,0,I,0,0,0,1509
M,48 years,$ 92778.09,Individuals,0,I,0,0,0,5413
F,54 years,$ 60695.7,Individuals,0,I,0,0,0,7513
F,20 years,$ 113536.14,College_Graduated,0,I,0,0,0,628
M,39 years,$ 107151.51,Individuals,0,A,1,1,0,4835
M,45 years,$ 52346.28,Individuals,0,I,0,0,0,790
M,43 years,$ 147215.34,VIP,0,A,1,4,0,5982
F,46 years,$ 62811.03,Individuals,0,I,0,0,0,6437
F,22 years,$ 54271.71,College_Graduated,0,I,0,1,0,1145
F,52 years,$ 84360.39,Individuals,0,A,1,1,0,542
F,25 years,$ 73119.45,College_Graduated,0,I,0,0,0,1773
M,22 years,$ 72386.91,College_Graduated,0,I,0,0,0,780
F,66 years,$ 83977.11,Individuals,0,I,0,2,0,3306
F,46 years,$ 52257.03,Individuals,0,A,1,3,0,4055
M,89 years,$ 170819.04,Individuals,0,A,1,5,0,7120
M,32 years,$ 152320.05,College_Graduated,0,I,0,1,0,1152
F,61 years,$ 104100.09,Individuals,0,A,1,3,0,2432
M,71 years,$ 150134.25,Individuals,1,A,1,5,0,4673
M,69 years,$ 185727.36,Individuals,0,I,0,1,0,3295
F,53 years,$ 1415413.26,Individuals,0,A,1,3,0,1497
M,45 years,$ 78611.4,Individuals,0,A,1,4,0,1507
M,18 years,$ 101848.77,Individuals,0,A,1,1,0,5263
M,22 years,$ 103770.0,College_Graduated,0,I,0,1,0,1054
F,44 years,$ 309681.66,Individuals,0,A,1,1,0,3222
M,21 years,$ 56065.77,College_Graduated,0,I,0,1,0,775
F,31 years,$ 119227.83,Individuals,0,I,0,0,0,706
M,43 years,$ 48012.78,Individuals,0,A,1,6,0,3679
F,25 years,$ 183739.26,College_Graduated,0,I,0,1,0,1413
M,53 years,$ 57920.94,Individuals,0,A,1,2,0,3768
M,70 years,$ 157762.02,Individuals,0,A,1,3,0,3981
M,72 years,$ 99327.33,Individuals,0,I,0,1,0,2951
F,23 years,$ 55547.28,College_Graduated,0,I,0,1,0,1516
F,27 years,$ 115431.57,College_Graduated,0,I,0,1,0,1060
M,43 years,$ 76793.76,Individuals,0,A,1,1,0,671
M,25 years,$ 114750.0,College_Graduated,0,I,0,1,0,1034
M,64 years,$ 100595.49,Individuals,0,A,1,2,0,5657
M,23 years,$ 85082.67,College_Graduated,0,I,0,1,0,1090
F,28 years,$ 139177.86,College_Graduated,0,I,0,1,0,1735
F,26 years,$ 155011.83,College_Graduated,0,I,0,1,0,1795
F,33 years,$ 158391.87,Individuals,0,I,0,0,0,4857
F,32 years,$ 90220.2,College_Graduated,0,I,0,1,0,382
F,73 years,$ 97062.48,Individuals,0,I,0,0,0,2804
F,31 years,$ 84075.96,College_Graduated,0,I,0,0,0,1441
F,23 years,$ 97053.51,College_Graduated,0,I,0,1,0,732
F,57 years,$ 135643.95,Individuals,0,A,1,4,0,5913
M,32 years,$ 33852.99,Individuals,0,A,1,4,0,858
F,52 years,$ 62049.45,Individuals,0,I,0,0,0,2204
F,38 years,$ 36230.58,Individuals,0,A,1,1,0,1293
M,45 years,$ 86566.26,Individuals,1,A,1,7,0,3904
F,48 years,$ 70337.04,Individuals,0,A,1,3,0,3573
M,57 years,$ 116764.62,Individuals,0,I,0,1,0,1818
M,27 years,$ 57411.54,College_Graduated,0,A,1,1,0,1153
M,22 years,$ 57707.49,College_Graduated,0,I,0,0,0,649
F,54 years,$ 193628.31,Individuals,0,A,1,1,0,4053
M,26 years,$ 823727.49,College_Graduated,0,I,0,1,0,1763
M,28 years,$ 115441.92,College_Graduated,0,I,0,1,0,1808
F,40 years,$ 178013.4,Individuals,0,I,0,2,0,4175
M,78 years,$ 69908.16,Individuals,0,I,0,0,0,4373
F,36 years,$ 102707.22,Individuals,0,I,0,0,0,3014
F,38 years,$ 292062.0,Individuals,0,A,1,7,1,6320
F,46 years,$ 76597.35,Individuals,0,A,1,2,0,3768
F,25 years,$ 422379.48,College_Graduated,0,I,0,1,0,1047
F,48 years,$ 42909.78,Individuals,0,A,1,2,0,5927
M,22 years,$ 139650.6,College_Graduated,0,A,1,1,0,1136
F,68 years,$ 96295.32,Individuals,0,I,0,0,0,740
F,56 years,$ 141568.71,Individuals,0,A,1,6,0,5858
F,52 years,$ 112208.07,Individuals,0,I,0,0,0,2286
F,27 years,$ 255427.68,Individuals,0,I,0,1,0,648
M,45 years,$ 125368.56,VIP,0,A,1,2,0,773
M,45 years,$ 186947.43,Individuals,0,A,1,1,0,6411
M,50 years,$ 218126.31,Individuals,0,A,1,2,0,2875
F,26 years,$ 208272.75,College_Graduated,0,I,0,1,0,1440
M,87 years,$ 301353.06,Individuals,0,I,0,1,0,5548
F,20 years,$ 48855.15,College_Graduated,0,I,0,1,0,390
F,51 years,$ 59718.06,Individuals,0,I,0,0,0,1060
F,84 years,$ 71984.22,Individuals,0,I,1,1,0,2874
F,67 years,$ 78162.39,Individuals,0,I,0,1,0,7127
M,46 years,$ 176318.28,Individuals,0,A,1,2,0,2594
F,37 years,$ 46550.34,VIP,1,A,1,9,0,3967
F,69 years,$ 167168.37,VIP,0,A,1,3,0,7464
F,45 years,$ 108044.58,Individuals,0,A,1,3,0,5454
F,35 years,$ 107002.59,Individuals,0,I,0,0,0,1707
M,34 years,$ 25328.19,Individuals,0,I,0,1,0,1763
F,44 years,$ 39956.13,Individuals,0,I,0,1,0,5207
F,44 years,$ 67662.39,Individuals,0,I,0,1,0,2796
F,57 years,$ 156504.09,Individuals,1,A,1,4,0,3552
M,63 years,$ 44216.31,Individuals,0,A,1,2,0,5550
M,24 years,$ 44447.31,College_Graduated,0,A,1,1,0,1874
M,44 years,$ 96823.53,Individuals,1,A,1,8,0,6415
M,47 years,$ 231878.52,Individuals,0,A,1,1,0,6009
F,51 years,$ 228607.11,Individuals,0,A,1,2,0,6571
F,63 years,$ 89809.32,VIP,0,A,1,3,0,5031
M,45 years,$ 74030.67,Individuals,0,I,0,0,0,2309
M,50 years,$ 138423.78,Individuals,0,I,0,0,0,3492
F,43 years,$ 165731.04,Individuals,0,A,0,3,0,5585
M,26 years,$ 156460.08,Individuals,0,A,1,3,0,2536
F,39 years,$ 98036.13,Individuals,0,I,0,1,0,3982
M,49 years,$ 314065.11,Individuals,0,I,1,2,0,6418
F,30 years,$ 141119.01,Individuals,0,I,0,0,0,1805
M,22 years,$ 38898.48,College_Graduated,0,I,0,1,0,1089
M,21 years,$ 183065.34,College_Graduated,0,I,0,1,0,705
M,43 years,$ 69705.24,Individuals,0,A,1,3,0,1388
M,29 years,$ 154203.54,College_Graduated,0,A,1,2,0,1572
M,48 years,$ 120512.49,Individuals,0,A,1,2,0,5013
M,58 years,$ 353091.0,Individuals,0,I,0,1,0,7618
F,43 years,$ 165714.12,Individuals,0,A,1,2,0,5311
F,24 years,$ 74892.96,College_Graduated,0,I,0,1,0,1859
M,24 years,$ 138941.19,College_Graduated,0,I,0,0,0,1056
F,24 years,$ 106928.73,College_Graduated,0,I,0,1,0,702
F,22 years,$ 34535.1,College_Graduated,0,I,0,1,0,984
M,35 years,$ 68158.77,Individuals,0,I,0,1,0,1837
F,21 years,$ 73584.75,College_Graduated,0,I,0,1,0,1059
F,54 years,$ 373965.51,Individuals,0,A,1,2,0,6695
F,57 years,$ 122968.32,Individuals,1,A,1,2,0,4087
M,20 years,$ 144433.83,College_Graduated,0,A,1,1,0,415
F,42 years,$ 80554.38,Individuals,1,A,1,6,0,3828
M,24 years,$ 53407.38,College_Graduated,0,I,0,1,0,1873
M,48 years,$ 128821.86,Individuals,0,A,0,2,0,4996
F,74 years,$ 113712.18,Individuals,0,A,0,1,0,7256
M,50 years,$ 203989.44,Individuals,0,I,0,1,0,5806
F,61 years,$ 698086.14,Individuals,0,I,0,1,0,3133
M,22 years,$ 182576.58,Individuals,0,A,1,3,0,426
F,29 years,$ 94271.52,College_Graduated,0,I,0,1,0,1048
M,49 years,$ 30458.07,VIP,1,A,1,4,0,2368
F,49 years,$ 179617.8,Individuals,0,A,1,1,0,6036
F,37 years,$ 80757.75,Individuals,0,I,0,0,0,1329
F,54 years,$ 146655.93,Individuals,0,I,0,1,0,3986
M,28 years,$ 57281.46,College_Graduated,0,A,1,2,0,1847
M,22 years,$ 62402.07,College_Graduated,0,I,0,1,0,1349
M,49 years,$ 112718.25,Individuals,0,A,1,1,0,7152
M,42 years,$ 134737.53,Individuals,1,A,1,5,0,1444
M,85 years,$ 129322.68,Individuals,0,I,0,1,0,3979
F,45 years,$ 147517.08,Individuals,0,I,0,1,0,788
F,54 years,$ 191088.24,Individuals,0,A,1,2,0,3033
F,86 years,$ 235310.52,Individuals,0,I,0,0,0,2305
M,51 years,$ 73008.39,VIP,0,A,1,5,0,5426
M,26 years,$ 93297.81,College_Graduated,0,I,0,1,0,1500
F,47 years,$ 200931.36,Individuals,0,I,0,2,0,2860
F,42 years,$ 664041.21,Individuals,0,A,1,6,0,4269
F,58 years,$ 130933.62,Individuals,0,A,1,1,0,825
M,42 years,$ 117857.28,Individuals,0,A,1,3,0,5679
M,22 years,$ 55555.44,College_Graduated,0,I,0,0,0,1144
M,88 years,$ 400137.12,Individuals,0,I,0,0,0,4498
M,25 years,$ 50303.79,College_Graduated,0,I,1,1,0,1133
F,60 years,$ 445352.7,Individuals,0,I,0,2,0,5295
M,22 years,$ 56113.5,College_Graduated,0,I,0,1,0,1150
F,46 years,$ 50926.26,Individuals,0,A,1,4,0,779
F,29 years,$ 64870.56,Individuals,0,I,0,0,0,944
M,26 years,$ 160880.4,College_Graduated,0,A,1,2,0,2271
